,geocodig_m,cod6,uf,sigla,nome_munic,codmun_6
0,3105004,310500,31,MG,Baldim,310500
1,3106200,310620,31,MG,Belo Horizonte,310620
2,3106705,310670,31,MG,Betim,310670
3,3109006,310900,31,MG,Brumadinho,310900
4,3110004,311000,31,MG,Caeté,311000
5,3112505,311250,31,MG,Capim Branco,311250
6,3117876,311787,31,MG,Confins,311787
7,3118601,311860,31,MG,Contagem,311860
8,3124104,312410,31,MG,Esmeraldas,312410
9,3126000,312600,31,MG,Florestal,312600
10,3129806,312980,31,MG,Ibirité,312980
11,3130101,313010,31,MG,Igarapé,313010
12,3132206,313220,31,MG,Itaguara,313220
13,3133709,313370,31,MG,Itatiaiuçu,313370
14,3134608,313460,31,MG,Jaboticatubas,313460
15,3136603,313660,31,MG,Nova União,313660
16,3136652,313665,31,MG,Juatuba,313665
17,3137601,313760,31,MG,Lagoa Santa,313760
18,3140159,314015,31,MG,Mário Campos,314015
19,3140704,314070,31,MG,Mateus Leme,314070
20,3141108,314110,31,MG,Matozinhos,314110
21,3144805,314480,31,MG,Nova Lima,314480
22,3149309,314930,31,MG,Pedro Leopoldo,314930
23,3153905,315390,31,MG,Raposos,315390
24,3154606,315460,31,MG,Ribeirão das Neves,315460
25,3154804,315480,31,MG,Rio Acima,315480
26,3155306,315530,31,MG,Rio Manso,315530
27,3156700,315670,31,MG,Sabará,315670
28,3157807,315780,31,MG,Santa Luzia,315780
29,3162922,316292,31,MG,São Joaquim de Bicas,316292
30,3162955,316295,31,MG,São José da Lapa,316295
31,3165537,316553,31,MG,Sarzedo,316553
32,3168309,316830,31,MG,Taquaraçu de Minas,316830
33,3171204,317120,31,MG,Vespasiano,317120
